,word,word_id,passage
1,once,1,mouse_in_the_house.csv
2,there,2,mouse_in_the_house.csv
3,was,3,mouse_in_the_house.csv
4,a,4,mouse_in_the_house.csv
5,mouse,5,mouse_in_the_house.csv
6,he,6,mouse_in_the_house.csv
7,lived,7,mouse_in_the_house.csv
8,in,8,mouse_in_the_house.csv
9,a,9,mouse_in_the_house.csv
10,wall,10,mouse_in_the_house.csv
11,of,11,mouse_in_the_house.csv
12,an,12,mouse_in_the_house.csv
13,old,13,mouse_in_the_house.csv
14,house,14,mouse_in_the_house.csv
15,each,15,mouse_in_the_house.csv
16,night,16,mouse_in_the_house.csv
17,the,17,mouse_in_the_house.csv
18,mouse,18,mouse_in_the_house.csv
19,went,19,mouse_in_the_house.csv
20,to,20,mouse_in_the_house.csv
21,the,21,mouse_in_the_house.csv
22,kitchen,22,mouse_in_the_house.csv
23,he,23,mouse_in_the_house.csv
24,wanted,24,mouse_in_the_house.csv
25,to,25,mouse_in_the_house.csv
26,find,26,mouse_in_the_house.csv
27,something,27,mouse_in_the_house.csv
28,to,28,mouse_in_the_house.csv
29,eat,29,mouse_in_the_house.csv
30,the,30,mouse_in_the_house.csv
31,man,31,mouse_in_the_house.csv
32,who,32,mouse_in_the_house.csv
33,lived,33,mouse_in_the_house.csv
34,in,34,mouse_in_the_house.csv
35,the,35,mouse_in_the_house.csv
36,house,36,mouse_in_the_house.csv
37,heard,37,mouse_in_the_house.csv
38,the,38,mouse_in_the_house.csv
39,mouse,39,mouse_in_the_house.csv
40,he,40,mouse_in_the_house.csv
41,knew,41,mouse_in_the_house.csv
42,the,42,mouse_in_the_house.csv
43,mouse,43,mouse_in_the_house.csv
44,lived,44,mouse_in_the_house.csv
45,in,45,mouse_in_the_house.csv
46,the,46,mouse_in_the_house.csv
47,wall,47,mouse_in_the_house.csv
48,but,48,mouse_in_the_house.csv
49,he ,49,mouse_in_the_house.csv
50,did,50,mouse_in_the_house.csv
51,n't,51,mouse_in_the_house.csv
